,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords,credits
0,False,/dvQj1GBZAZirz1skEEZyWH2ZqQP.jpg,"{'id': 177062, 'name': 'Blondie Collection', 'poster_path': '/1S91GbJflcXjLrwWhdDDUQh5Yui.jpg', 'backdrop_path': '/qMr0HqAhfYmIkSVs6W5xuxwEIbR.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,3924,tt0029927,en,Blondie,Blondie and Dagwood are about to celebrate their fifth wedding anniversary but this happy occasion is marred when the bumbling Dagwood gets himself involved in a scheme that is promising financial ruin for the Bumstead family.,7.837,/zBiHKhXklvTFwj4M1uEUcQGAVJ.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1938-11-30,0,70,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The favorite comic strip of millions at last on the screen!,Blondie,False,7.1,8,"{'keywords': [{'id': 190801, 'name': 'blondie'}]}","{'cast': [{'adult': False, 'gender': 1, 'id': 34178, 'known_for_department': 'Acting', 'name': 'Penny Singleton', 'original_name': 'Penny Singleton', 'popularity': 8.992, 'profile_path': '/ktpBMwMcqYTp1GubbVnAtZfzSKt.jpg', 'cast_id': 2, 'character': 'Blondie', 'credit_id': '52fe43a6c3a36847f8064da1', 'order': 0}, {'adult': False, 'gender': 2, 'id': 34179, 'known_for_department': 'Acting', 'name': 'Arthur Lake', 'original_name': 'Arthur Lake', 'popularity': 9.573, 'profile_path': '/iLu6YQ9dvi6IzLLrAeHiLViewDr.jpg', 'cast_id': 1, 'character': 'Dagwood', 'credit_id': '52fe43a6c3a36847f8064d9d', 'order': 1}, {'adult': False, 'gender': 2, 'id': 30223, 'known_for_department': 'Acting', 'name': 'Larry Simms', 'original_name': 'Larry Simms', 'popularity': 9.665, 'profile_path': '/q5z02wJLuECyXnYDdxWmIe6IVvp.jpg', 'cast_id': 3, 'character': 'Baby Dumpling', 'credit_id': '52fe43a6c3a36847f8064da5', 'order': 2}, {'adult': False, 'gender': 2, 'id': 34214, 'known_for_department': 'Acting', 'name': 'Daisy', 'original_name': 'Daisy', 'popularity': 2.773, 'profile_path': '/tAFAXzWwEYnad7cZy1Bn5M1wESm.jpg', 'cast_id': 17, 'character': 'Daisy', 'credit_id': '549a7da69251415dc1000b89', 'order': 3}, {'adult': False, 'gender': 1, 'id': 2772, 'known_for_department': 'Acting', 'name': 'Ann Doran', 'original_name': 'Ann Doran', 'popularity': 15.809, 'profile_path': '/t6q0svIGjotyJQgxr74pKz6462g.jpg', 'cast_id': 11, 'character': 'Elsie Hazlip', 'credit_id': '52fe43a6c3a36847f8064dc5', 'order': 4}, {'adult': False, 'gender': 1, 'id': 34183, 'known_for_department': 'Acting', 'name': 'Dorothy Moore', 'original_name': 'Dorothy Moore', 'popularity': 7.048, 'profile_path': '/kT6X0anW36TeCcnEcUS8p6PLqZH.jpg', 'cast_id': 14, 'character': 'Dorothy', 'credit_id': '52fe43a6c3a36847f8064dd1', 'order': 5}, {'adult': False, 'gender': 2, 'id': 30234, 'known_for_department': 'Acting', 'name': 'Gene Lockhart', 'original_name': 'Gene Lockhart', 'popularity': 19.768, 'profile_path': '/8lSQRefIA5kNylZOF7anexkDxqQ.jpg', 'cast_id': 4, 'character': 'C.P. Hazlip', 'credit_id': '52fe43a6c3a36847f8064da9', 'order': 6}, {'adult': False, 'gender': 2, 'id': 12502, 'known_for_department': 'Acting', 'name': 'Jonathan Hale', 'original_name': 'Jonathan Hale', 'popularity': 20.772, 'profile_path': '/6slWYX9NChUonIPcybOaFLDKjl9.jpg', 'cast_id': 8, 'character': 'Mr. Dithers', 'credit_id': '52fe43a6c3a36847f8064db9', 'order': 7}, {'adult': False, 'gender': 2, 'id': 34180, 'known_for_department': 'Acting', 'name': 'Gordon Oliver', 'original_name': 'Gordon Oliver', 'popularity': 6.679, 'profile_path': '/1f7YAGrlReAeBy7wWhRrANZRkw1.jpg', 'cast_id': 15, 'character': 'Chester Franey', 'credit_id': '52fe43a6c3a36847f8064dd5', 'order': 8}, {'adult': False, 'gender': 2, 'id': 34181, 'known_for_department': 'Acting', 'name': 'Danny Mummert', 'original_name': 'Danny Mummert', 'popularity': 9.786, 'profile_path': '/a3ls1qUJ5SzDYZ1dQSOEdk08YFf.jpg', 'cast_id': 9, 'character': 'Alvin', 'credit_id': '52fe43a6c3a36847f8064dbd', 'order': 9}, {'adult': False, 'gender': 1, 'id': 34182, 'known_for_department': 'Acting', 'name': 'Kathleen Lockhart', 'original_name': 'Kathleen Lockhart', 'popularity': 9.907, 'profile_path': '/kIgyhuy3tFRz6XIyWdJss017go5.jpg', 'cast_id': 16, 'character': 'Mrs. Miller', 'credit_id': '52fe43a6c3a36847f8064dd9', 'order': 10}, {'adult': False, 'gender': 2, 'id': 34185, 'known_for_department': 'Acting', 'name': 'Willie Best', 'original_name': 'Willie Best', 'popularity': 13.065, 'profile_path': '/akmMrTWzo9GLLy0jxR7Kv7iNjWu.jpg', 'cast_id': 13, 'character': 'Porter', 'credit_id': '52fe43a6c3a36847f8064dcd', 'order': 11}, {'adult': False, 'gender': 2, 'id': 2782, 'known_for_department': 'Acting', 'name': 'Ian Wolfe', 'original_name': 'Ian Wolfe', 'popularity': 23.093, 'profile_path': '/8Eum5GDti8Zh9ZyYSvWaoIHt8Wr.jpg', 'cast_id': 12, 'character': 'Judge', 'credit_id': '52fe43a6c3a36847f8064dc9', 'order': 12}, {'adult': False, 'gender': 2, 'id': 1292673, 'known_for_department': 'Acting', 'name': 'Eugene Anderson Jr', 'original_name': 'Eugene Anderson Jr', 'popularity': 1.564, 'profile_path': None, 'cast_id': 19, 'character': 'Newsboy (uncredited)', 'credit_id': '54d0ac40c3a3684310002dae', 'order': 13}, {'adult': False, 'gender': 2, 'id': 34505, 'known_for_department': 'Acting', 'name': 'Stanley Andrews', 'original_name': 'Stanley Andrews', 'popularity': 16.843, 'profile_path': '/zAW09eb1f0g4OPtNkJk83ej1os5.jpg', 'cast_id': 20, 'character': 'Mr. Hicks (uncredited)', 'credit_id': '54d0ac4b9251417c14002b7d', 'order': 14}, {'adult': False, 'gender': 2, 'id': 121097, 'known_for_department': 'Acting', 'name': 'Hooper Atchley', 'original_name': 'Hooper Atchley', 'popularity': 6.671, 'profile_path': '/rJ5kyxxf56ESiUPkP5OMtVGSBQZ.jpg', 'cast_id': 21, 'character': 'Man on Bus (uncredited)', 'credit_id': '54d0ac569251413e0b001518', 'order': 15}, {'adult': False, 'gender': 2, 'id': 34241, 'known_for_department': 'Acting', 'name': 'Stanley Brown', 'original_name': 'Stanley Brown', 'popularity': 4.124, 'profile_path': '/viNetIqLs73iqr4QLmuj58bclkn.jpg', 'cast_id': 22, 'character': 'S.W. Carey Salesman (uncredited)', 'credit_id': '54d0ac61c3a3684321002e6b', 'order': 16}, {'adult': False, 'gender': 1, 'id': 1173491, 'known_for_department': 'Acting', 'name': 'Mary Jane Carey', 'original_name': 'Mary Jane Carey', 'popularity': 1.111, 'profile_path': None, 'cast_id': 23, 'character': 'Mary (uncredited)', 'credit_id': '54d0ac6a9251417c14002b85', 'order': 17}, {'adult': False, 'gender': 2, 'id': 153638, 'known_for_department': 'Acting', 'name': 'Dick Curtis', 'original_name': 'Dick Curtis', 'popularity': 7.145, 'profile_path': '/yLb6fRcbl1T58a0H7htYBQWlJI3.jpg', 'cast_id': 24, 'character': 'Daily Gazette Reporter (uncredited)', 'credit_id': '54d0ac799251417c14002b8c', 'order': 18}, {'adult': False, 'gender': 2, 'id': 1240252, 'known_for_department': 'Acting', 'name': 'Edgar Dearing', 'original_name': 'Edgar Dearing', 'popularity': 11.111, 'profile_path': '/gD7Fd6ksHRGNnWFOw0qv9v8QVmd.jpg', 'cast_id': 25, 'character': 'Policeman at Hotel (uncredited)', 'credit_id': '54d0ac839251417c0d002c71', 'order': 19}, {'adult': False, 'gender': 2, 'id': 34243, 'known_for_department': 'Acting', 'name': 'Richard Fiske', 'original_name': 'Richard Fiske', 'popularity': 6.231, 'profile_path': '/9HpRvRbP2tBF5hOmC5maqtCokLK.jpg', 'cast_id': 26, 'character': 'Nelson (uncredited)', 'credit_id': '54d0ac8f9251417c16002a2e', 'order': 20}, {'adult': False, 'gender': 2, 'id': 3262, 'known_for_department': 'Acting', 'name': 'James Flavin', 'original_name': 'James Flavin', 'popularity': 18.296, 'profile_path': '/31fJGfekarwtB4OrMG7oGEBGgKm.jpg', 'cast_id': 27, 'character': 'Policeman in Accident Car (uncredited)', 'credit_id': '54d0ac9ac3a3684314002c6c', 'order': 21}, {'adult': False, 'gender': 1, 'id': 34184, 'known_for_department': 'Acting', 'name': 'Fay Helm', 'original_name': 'Fay Helm', 'popularity': 10.299, 'profile_path': '/qohY8z2Hk0OWSNBNaYtlBWuMaIQ.jpg', 'cast_id': 28, 'character': 'Mrs. Fuddle (uncredited)', 'credit_id': '54d0aca5c3a3684321002e75', 'order': 22}, {'adult': False, 'gender': 2, 'id': 106091, 'known_for_department': 'Acting', 'name': 'George Humbert', 'original_name': 'George Humbert', 'popularity': 6.573, 'profile_path': '/qBKG1we50E5peg8FeS3WwVYtjDQ.jpg', 'cast_id': 29, 'character': 'Pie Salesman (uncredited)', 'credit_id': '54d0acaec3a3684321002e78', 'order': 23}, {'adult': False, 'gender': 2, 'id': 89615, 'known_for_department': 'Acting', 'name': 'Bud Jamison', 'original_name': 'Bud Jamison', 'popularity': 9.895, 'profile_path': '/AiiqQpcsDraQqYxkKwwKHmCU0QE.jpg', 'cast_id': 30, 'character': 'Repossessor (uncredited)', 'credit_id': '54d0acbcc3a36843180031b9', 'order': 24}, {'adult': False, 'gender': 2, 'id': 29579, 'known_for_department': 'Acting', 'name': 'Charles Lane', 'original_name': 'Charles Lane', 'popularity': 28.78, 'profile_path': '/ghyuQ8HoIY1ozRzbLGJNl2d1dz6.jpg', 'cast_id': 31, 'character': 'Furniture Salesman (uncredited)', 'credit_id': '54d0acc6c3a36843180031bc', 'order': 25}, {'adult': False, 'gender': 2, 'id': 1005423, 'known_for_department': 'Acting', 'name': 'Harold Minjir', 'original_name': 'Harold Minjir', 'popularity': 4.628, 'profile_path': '/c2BmgZjyd0OwgbfaMTaa7mUHoQM.jpg', 'cast_id': 32, 'character': 'Mr. Phillips (uncredited)', 'credit_id': '54d0ace0c3a36843180031bf', 'order': 26}, {'adult': False, 'gender': 2, 'id': 942165, 'known_for_department': 'Acting', 'name': 'David Newell', 'original_name': 'David Newell', 'popularity': 4.368, 'profile_path': '/iWw1K3M9e8ktpxVmo17UHeDMCyL.jpg', 'cast_id': 33, 'character': 'First Draftsman (uncredited)', 'credit_id': '54d0acefc3a36843180031c4', 'order': 27}, {'adult': False, 'gender': 2, 'id': 124875, 'known_for_department': 'Acting', 'name': 'Emory Parnell', 'original_name': 'Emory Parnell', 'popularity': 22.827, 'profile_path': '/eI6HoBY4IK8NP1k9gJKicLhIekv.jpg', 'cast_id': 34, 'character': 'Police Desk Sergeant (uncredited)', 'credit_id': '54d0ad399251417c1a002d34', 'order': 28}, {'adult': False, 'gender': 2, 'id': 21310, 'known_for_department': 'Acting', 'name': 'John Rand', 'original_name': 'John Rand', 'popularity': 9.603, 'profile_path': '/hVv5NHtoCvIPX7V4eYTj78cEzdF.jpg', 'cast_id': 35, 'character': 'Gardener (uncredited)', 'credit_id': '54d0ad479251417c0d002c91', 'order': 29}, {'adult': False, 'gender': 2, 'id': 1420879, 'known_for_department': 'Acting', 'name': 'Bruce Sidney', 'original_name': 'Bruce Sidney', 'popularity': 3.412, 'profile_path': None, 'cast_id': 36, 'character': 'Detective at Hotel (uncredited)', 'credit_id': '54d0ad4f9251417c1a002d38', 'order': 30}, {'adult': False, 'gender': 2, 'id': 34270, 'known_for_department': 'Acting', 'name': 'Walter Soderling', 'original_name': 'Walter Soderling', 'popularity': 4.843, 'profile_path': '/4OA4L8J7xopunESWzyjBVf3O4uT.jpg', 'cast_id': 37, 'character': 'Mr. Morgan (uncredited)', 'credit_id': '54d0ad59c3a368430d002f27', 'order': 31}, {'adult': False, 'gender': 2, 'id': 135827, 'known_for_department': 'Acting', 'name': 'Larry Steers', 'original_name': 'Larry Steers', 'popularity': 9.904, 'profile_path': '/8QBHXihnGldVMNIxnbW2ljTk7Y1.jpg', 'cast_id': 38, 'character': 'Assistant Hotel Clerk (uncredited)', 'credit_id': '54d0ad62c3a368430a0031eb', 'order': 32}, {'adult': False, 'gender': 1, 'id': 99376, 'known_for_department': 'Acting', 'name': 'Josephine Whittell', 'original_name': 'Josephine Whittell', 'popularity': 5.83, 'profile_path': '/e2oIrJY3nBHndblhN4dPjWIsAVe.jpg', 'cast_id': 39, 'character': 'Woman Seeing Optometrist (uncredited)', 'credit_id': '54d0ad6dc3a3684321002e90', 'order': 33}, {'adult': False, 'gender': 2, 'id': 30530, 'known_for_department': 'Acting', 'name': 'Irving Bacon', 'original_name': 'Irving Bacon', 'popularity': 14.928, 'profile_path': '/oFczw1DlGJ2p1wr4osdC2flX9qN.jpg', 'cast_id': 40, 'character': 'Mr. Beazley (uncredited)', 'credit_id': '5f66badfe18e3f0038093ef7', 'order': 34}], 'crew': [{'adult': False, 'gender': 2, 'id': 34171, 'known_for_department': 'Writing', 'name': 'Richard Flournoy', 'original_name': 'Richard Flournoy', 'popularity': 9.678, 'profile_path': None, 'credit_id': '52fe43a6c3a36847f8064db5', 'department': 'Writing', 'job': 'Screenplay'}, {'adult': False, 'gender': 0, 'id': 34170, 'known_for_department': 'Directing', 'name': 'Frank R. Strayer', 'original_name': 'Frank R. Strayer', 'popularity': 5.719, 'profile_path': None, 'credit_id': '52fe43a6c3a36847f8064daf', 'department': 'Directing', 'job': 'Director'}]}"
1,False,,,0,"[{'id': 12, 'name': 'Adventure'}]",,6124,,de,Der Mann ohne Namen,,1.499,/6xUbUCvndklbGVYiljHr34NTxSl.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1921-01-01,0,420,[],Released,,"Peter Voss, Thief of Millions",False,0.0,0,{'keywords': []},"{'cast': [{'adult': False, 'gender': 2, 'id': 48038, 'known_for_department': 'Acting', 'name': 'Harry Liedtke', 'original_name': 'Harry Liedtke', 'popularity': 5.639, 'profile_path': '/6uub4Y8JGTi2MmzbFVq5DD2Yf5o.jpg', 'cast_id': 3, 'character': 'Peter Voss', 'credit_id': '53d20fd20e0a265df000e4c6', 'order': 0}, {'adult': False, 'gender': 2, 'id': 28126, 'known_for_department': 'Acting', 'name': 'Georg Alexander', 'original_name': 'Georg Alexander', 'popularity': 4.498, 'profile_path': '/mJTwlAQtnQBYeM4jP0BKdH8Y2zI.jpg', 'cast_id': 4, 'character': 'Bobby Dodd', 'credit_id': '53d20fed0e0a265e0100e155', 'order': 1}, {'adult': False, 'gender': 1, 'id': 14357, 'known_for_department': 'Acting', 'name': 'Mady Christians', 'original_name': 'Mady Christians', 'popularity': 7.588, 'profile_path': '/oTLL5xqcM3AXF4E261xSzzobIjR.jpg', 'cast_id': 5, 'character': 'Gert Nissen', 'credit_id': '53d210090e0a265df300e5f2', 'order': 2}, {'adult': False, 'gender': 2, 'id': 14131, 'known_for_department': 'Acting', 'name': 'Jakob Tiedtke', 'original_name': 'Jakob Tiedtke', 'popularity': 6.139, 'profile_path': '/xYNw5BjP0vQ2KAMCelkr2NyVigN.jpg', 'cast_id': 6, 'character': 'Frederik Nissen', 'credit_id': '53d210290e0a265de700e6d7', 'order': 3}], 'crew': [{'adult': False, 'gender': 2, 'id': 48035, 'known_for_department': 'Directing', 'name': 'Georg Jacoby', 'original_name': 'Georg Jacoby', 'popularity': 5.248, 'profile_path': None, 'credit_id': '53d20fa50e0a265dfc00e341', 'department': 'Directing', 'job': 'Director'}, {'adult': False, 'gender': 2, 'id': 48035, 'known_for_department': 'Directing', 'name': 'Georg Jacoby', 'original_name': 'Georg Jacoby', 'popularity': 5.248, 'profile_path': None, 'credit_id': '53d20fac0e0a265df300e5da', 'department': 'Writing', 'job': 'Screenplay'}, {'adult': False, 'gender': 2, 'id': 2902, 'known_for_department': 'Writing', 'name': 'Robert Liebmann', 'original_name': 'Robert Liebmann', 'popularity': 8.436, 'profile_path': None, 'credit_id': '53d20fbd0e0a265dea00e63c', 'department': 'Writing', 'job': 'Screenplay'}, {'adult': False, 'gender': 2, 'id': 29032, 'known_for_department': 'Camera', 'name': 'Frederik Fuglsang', 'original_name': 'Frederik Fuglsang', 'popularity': 2.094, 'profile_path': None, 'credit_id': '5d4e1beb839d930013ac5496', 'department': 'Camera', 'job': 'Director of Photography'}]}"
